"File","Line","Function","Kind","Text","EndsWithNewline","Evidence"
"src\cedit.c","311","cedit_save_internally","CALL","void cedit_save_to_disk( void )",,"   309: }
   310: 
   311: void cedit_save_to_disk( void )
   312: {
   313:   /* Just call save_config and get it over with. */
   314:   save_config( NOWHERE );
   315: }"
"src\cedit.c","314","cedit_save_to_disk","CALL","save_config( NOWHERE );",,"   312: {
   313:   /* Just call save_config and get it over with. */
   314:   save_config( NOWHERE );
   315: }
   316: 
   317: int save_config( IDXTYPE nowhere )
   318: {"
"src\cedit.c","317","cedit_save_to_disk","CALL","int save_config( IDXTYPE nowhere )",,"   315: }
   316: 
   317: int save_config( IDXTYPE nowhere )
   318: {
   319:   FILE *fl;
   320:   char buf[MAX_STRING_LENGTH];
   321: "
"src\cedit.c","822","cedit_parse","CALL","cedit_save_to_disk();",,"   820:           cleanup_olc(d, CLEANUP_CONFIG);
   821: 	  if (CONFIG_AUTO_SAVE) {
   822: 	    cedit_save_to_disk();
   823: 	    write_to_output(d, ""Game configuration saved to disk.\r\n"");
   824: 	  } else
   825:             write_to_output(d, ""Game configuration saved to memory.\r\n"");
   826:           return;"
"src\cedit.c","823","cedit_parse","MESSAGE","Game configuration saved to disk.\r\n","True","   822: 	    cedit_save_to_disk();
   823: 	    write_to_output(d, ""Game configuration saved to disk.\r\n"");
   824: 	  } else
   825:             write_to_output(d, ""Game configuration saved to memory.\r\n"");
   826:           return;
   827:         case 'n':"
"src\cedit.c","834","cedit_parse","MESSAGE","Do you wish to save your changes? : ","False","   833:           write_to_output(d, ""\r\nThat is an invalid choice!\r\n"");
   834:           write_to_output(d, ""Do you wish to save your changes? : "");
   835:           return;
   836:       }
   837: 
   838:     case CEDIT_MAIN_MENU:"
"src\cedit.c","872","cedit_parse","MESSAGE","Do you wish to save your changes? : ","False","   871:         case 'Q':
   872:           write_to_output(d, ""Do you wish to save your changes? : "");
   873:           OLC_MODE(d) = CEDIT_CONFIRM_SAVESTRING;
   874:           break;
   875: 
   876:         default:"
"src\comm.c","546","init_game","CALL","save_all();",,"   544: 
   545:   if (circle_reboot != 2)
   546:     save_all();
   547: 
   548:   log(""Saving current MUD time."");
   549:   save_mud_time(&time_info);
   550: "
"src\comm.c","549","init_game","CALL","save_mud_time(&time_info);",,"   547: 
   548:   log(""Saving current MUD time."");
   549:   save_mud_time(&time_info);
   550: 
   551:   if (circle_reboot) {
   552:     log(""Rebooting."");
   553:     exit(52);			/* what's so great about HHGTTG, anyhow? */"
"src\comm.c","1033","heartbeat","CALL","save_mud_time(&time_info);",,"  1031: 
  1032:   if (!(heart_pulse % PULSE_TIMESAVE))
  1033:   save_mud_time(&time_info);
  1034: 
  1035:   /* Every pulse! Don't want them to stink the place up... */
  1036:   extract_pending_chars();
  1037: }"
"src\comm.c","1976","close_socket","CALL","save_char(link_challenged);",,"  1974:       /* We are guaranteed to have a person. */
  1975:       act(""$n has lost $s link."", TRUE, link_challenged, 0, 0, TO_ROOM);
  1976:       save_char(link_challenged);
  1977:       mudlog(NRM, MAX(LVL_IMMORT, GET_INVIS_LEV(link_challenged)), TRUE, ""Closing link to: %s."", GET_NAME(link_challenged));
  1978:     } else {
  1979:       mudlog(CMP, LVL_IMMORT, TRUE, ""Losing player: %s."", GET_NAME(d->character) ? GET_NAME(d->character) : ""<null>"");
  1980:       free_char(d->character);"
"src\db.c","491","boot_world","CALL","save_all();",,"   489:   if(converting) {
   490:     log(""Saving 128bit world files to disk."");
   491:     save_all();
   492:   }
   493: 
   494:   if (!no_specials) {
   495:     log(""Loading shops."");"
"src\db.c","916","reset_time","CALL","void save_mud_time(struct time_info_data *when)",,"   914: 
   915: /* Write the time in 'when' to the MUD-time file. */
   916: void save_mud_time(struct time_info_data *when)
   917: {
   918:   FILE *bgtime;
   919: 
   920:   if ((bgtime = fopen(TIME_FILE, ""w"")) == NULL)"
"src\db.h","258","","CALL","void  save_mud_time(struct time_info_data *when);",,"   256: long  get_id_by_name(const char *name);
   257: char  *get_name_by_id(long id);
   258: void  save_mud_time(struct time_info_data *when);
   259: void  free_text_files(void);
   260: void  free_help_table(void);
   261: void  free_player_index(void);
   262: void  load_help(FILE *fl, char *name);"
"src\db.h","281","","CALL","obj_save_data *objsave_parse_objects(FILE *fl);",,"   279: void update_obj_file(void);
   280: void Crash_rentsave(struct char_data *ch, int cost);
   281: obj_save_data *objsave_parse_objects(FILE *fl);
   282: int objsave_save_obj_record(struct obj_data *obj, FILE *fl, int location);
   283: /* Special functions */
   284: SPECIAL(receptionist);
   285: /* Functions from players.c */"
"src\db.h","282","","CALL","int objsave_save_obj_record(struct obj_data *obj, FILE *fl, int location);",,"   280: void Crash_rentsave(struct char_data *ch, int cost);
   281: obj_save_data *objsave_parse_objects(FILE *fl);
   282: int objsave_save_obj_record(struct obj_data *obj, FILE *fl, int location);
   283: /* Special functions */
   284: SPECIAL(receptionist);
   285: /* Functions from players.c */
   286: void   tag_argument(char *argument, char *tag, size_t taglen);"
"src\db.h","288","","CALL","int    save_char(struct char_data *ch);",,"   286: void   tag_argument(char *argument, char *tag, size_t taglen);
   287: int    load_char(const char *name, struct char_data *ch);
   288: int    save_char(struct char_data *ch);
   289: void   init_char(struct char_data *ch);
   290: struct char_data* create_char(void);
   291: struct char_data *read_mobile(mob_vnum nr, int type);
   292: void apply_mob_loadout_after_placement(struct char_data *mob);"
"src\db.h","297","","CALL","int    save_player_index(void);",,"   295: void   reset_char(struct char_data *ch);
   296: void   free_char(struct char_data *ch);
   297: int    save_player_index(void);
   298: long   get_ptable_by_name(const char *name);
   299: void   remove_player(int pfilepos);
   300: void   clean_pfiles(void);
   301: void   build_player_index(void);"
"src\dg_olc.c","118","","CALL","void script_save_to_disk(FILE *fp, void *item, int type)",,"   116: /* Called when a mob or object is being saved to disk, so its script can be 
   117:  * saved. */
   118: void script_save_to_disk(FILE *fp, void *item, int type)
   119: {
   120:   struct trig_proto_list *t;
   121: 
   122:   if (type==MOB_TRIGGER)"
"src\dg_olc.c","129","script_save_to_disk","CALL","log(""SYSERR: Invalid type passed to script_save_to_disk()"");",,"   127:     t = ((struct room_data *)item)->proto_script;
   128:   else {
   129:     log(""SYSERR: Invalid type passed to script_save_to_disk()"");
   130:     return;
   131:   }
   132: 
   133:   while (t)"
"src\dg_olc.c","530","trigedit_parse","MESSAGE","Do you wish to save your changes? : ","False","   529:            }
   530:            write_to_output(d, ""Do you wish to save your changes? : "");
   531:            OLC_MODE(d) = TRIGEDIT_CONFIRM_SAVESTRING;
   532:          } else
   533:            cleanup_olc(d, CLEANUP_ALL);
   534:          return;"
"src\dg_olc.c","608","trigedit_parse","MESSAGE","Do you wish to save your changes? : ","False","   607:           write_to_output(d, ""Invalid choice!\r\n"");
   608:           write_to_output(d, ""Do you wish to save your changes? : "");
   609:           return;
   610:       }
   611:       break;
   612: "
"src\dg_olc.c","936","trigedit_save","MESSAGE","Trigger saved to disk.\r\n","True","   935: 
   936:   write_to_output(d, ""Trigger saved to disk.\r\n"");
   937:   trigedit_create_index(zone, ""trg"");
   938: }
   939: 
   940: static void trigedit_create_index(int znum, char *type)"
